Customer_ID,Gender,Age_Group,Region,Monthly_Income,Loan_Amount,Interest_Rate,Loan_Purpose,Loan_Status,Avg_Transaction_Freq,Avg_Transaction_Amount,Spending_Score,Behavioral_Anomaly_Index,Credit_Score,Payment_Irregularity,Default_Risk_Score,Transaction_Inconsistency,Inconsistency_Flag
CUST_0000,Male,<25,Urban,3283.58,19352.47,8.7,Personal,Approved,264,1587.46,0.44,0.47,416,0.41,0.45,0.19,0
CUST_0001,Male,41-60,Semi-Urban,2983.59,47585,15.84,Home,Approved,29,565.5,0.98,0.72,579,0.25,0.53,0.57,0
CUST_0002,Female,25-40,Semi-Urban,6700.04,36867.7,22.46,Personal,Approved,67,1296.27,0.81,0.49,474,0.86,0.64,0.33,0
CUST_0003,Female,25-40,Urban,3198.18,30334.27,19.64,Car,Approved,121,1747.89,0.74,0.35,594,0.7,0.49,0.82,1
CUST_0004,Female,25-40,Urban,9606.02,8644.91,21.13,Car,Approved,205,92.87,0.54,0.68,750,0.55,0.63,0.18,0
CUST_0005,Male,25-40,Rural,4941.58,8643.73,18.18,Education,Defaulted,101,1662.97,0.84,0.82,817,0.61,0.74,0.46,0
CUST_0006,Male,<25,Urban,13644.07,3846.1,18.85,Business,Approved,61,1146.95,0.34,0.11,320,0.09,0.1,0.01,0
CUST_0007,Female,41-60,Urban,12185.5,43442.63,21.98,Personal,Approved,17,1218.87,0.71,0.97,372,0.47,0.77,0.48,0
CUST_0008,Male,60+,Urban,11096.17,30454.64,9.99,Education,Approved,107,1051.08,0.99,0.29,335,0.19,0.25,0.06,0
CUST_0009,Female,25-40,Semi-Urban,10020.27,35695.56,14.79,Business,Defaulted,245,1750.21,0.31,0.31,806,0.21,0.27,0.98,1
CUST_0010,Female,60+,Urban,13225.05,2008.64,9.42,Personal,Approved,78,96.43,0.67,0.25,532,0.66,0.41,0.79,1
CUST_0011,Female,60+,Rural,4899.81,48525.58,24.75,Home,Approved,54,529.45,0.84,0.5,796,0.91,0.66,0.49,0
CUST_0012,Male,41-60,Rural,13350.41,41789.69,23.88,Personal,Approved,146,1752.77,0.92,0.24,505,0.4,0.3,0.09,0
CUST_0013,Female,60+,Rural,12263.4,11404.62,5.79,Car,Approved,243,1507.17,0.72,0.27,725,0.21,0.25,0.59,0
CUST_0014,Male,60+,Urban,11726.09,9909.42,19.11,Car,Approved,41,45.11,0.28,0.36,343,0.65,0.48,0.76,1
